Wall time,Step,Value
1771819471.2076728,0,32.07692337036133
1771819473.0853574,1,40.79999923706055
1771819474.7478528,2,72.33333587646484
1771819476.119732,3,74.5
1771819477.4991763,4,54.625
1771819478.9670198,5,118.75
1771819480.432384,6,121.5
1771819481.9037228,7,112.5
1771819483.3932705,8,150.6666717529297
1771819485.401921,9,199.3333282470703
1771819487.2173421,10,200.0
1771819488.8084886,11,200.0
1771819490.2160416,12,200.0
1771819491.5418236,13,200.0
1771819492.8978105,14,200.0
1771819494.2510982,15,200.0
1771819495.6056507,16,200.0
1771819496.9613163,17,200.0
1771819498.5216274,18,200.0
1771819500.3180094,19,200.0
1771819501.8915665,20,200.0
1771819503.2281165,21,200.0
1771819504.5939016,22,200.0
1771819505.94527,23,200.0
1771819507.282363,24,200.0
1771819508.607506,25,200.0
1771819510.0554256,26,200.0
1771819511.842479,27,194.0
1771819513.8384793,28,158.6666717529297
1771819515.6440535,29,43.099998474121094
1771819517.1823518,30,63.28571319580078
1771819518.6944633,31,161.3333282470703
1771819520.2639802,32,128.25
1771819521.8379126,33,116.5
1771819523.2034268,34,200.0
1771819524.7287626,35,200.0
1771819526.470665,36,200.0
1771819528.2276864,37,200.0
1771819529.640297,38,200.0
1771819531.1899018,39,119.25
1771819532.7067778,40,95.80000305175781
1771819534.1276119,41,106.25
1771819535.5663,42,115.0
1771819537.0393035,43,113.75
1771819538.5354104,44,116.75
1771819540.481929,45,140.0
1771819542.3100126,46,141.6666717529297
1771819543.8535988,47,165.3333282470703
1771819545.4347522,48,160.0
1771819547.0231562,49,152.6666717529297
1771819548.497146,50,150.0
1771819550.0199673,51,165.0
1771819551.5440357,52,161.3333282470703
1771819553.3878517,53,166.0
1771819555.4322371,54,152.0
1771819556.9769573,55,147.6666717529297
1771819558.4985065,56,164.3333282470703
1771819560.03346,57,149.6666717529297
1771819561.4860835,58,152.6666717529297
1771819562.9735546,59,152.0
1771819564.4671717,60,158.3333282470703
1771819566.1355336,61,157.6666717529297
1771819568.031775,62,152.3333282470703
1771819569.864252,63,141.0
1771819571.38153,64,140.3333282470703
1771819572.9303265,65,139.0
1771819574.398836,66,134.6666717529297
1771819575.9445775,67,128.0
1771819577.4839513,68,133.0
1771819579.0503483,69,125.75
1771819580.9606621,70,125.5
1771819582.871473,71,122.75
1771819584.3358378,72,123.5
1771819585.8609416,73,116.5
1771819587.3496752,74,113.25
1771819588.8004925,75,112.5
1771819590.2953608,76,118.0
1771819591.8393333,77,124.75
1771819593.5310478,78,123.0
1771819595.466621,79,131.0
1771819597.1742394,80,137.6666717529297
1771819598.6201313,81,135.3333282470703
1771819600.2070377,82,130.75
1771819601.7308793,83,127.25
1771819603.1851816,84,140.3333282470703
1771819604.7128346,85,153.6666717529297
1771819606.2431347,86,172.6666717529297
1771819608.2352972,87,187.0
1771819610.2381124,88,188.0
1771819611.744587,89,200.0
1771819613.1248326,90,200.0
1771819614.4590595,91,200.0
1771819615.8236163,92,200.0
1771819617.1719093,93,200.0
1771819618.5455892,94,200.0
1771819619.8997107,95,200.0
1771819622.149597,96,193.0
1771819624.0638845,97,153.3333282470703
1771819625.5783417,98,141.6666717529297
1771819627.0920172,99,123.5
