Iteration,Train_EnvstepsSoFar,Train_AverageReturn
0,10001,-137.81210327148438
1,20001,-95.2013168334961
2,30001,-97.97431182861328
3,40001,-102.37580871582031
4,50001,-103.40080261230469
5,60001,-102.18475341796875
6,70001,-105.6511459350586
7,80001,-103.10853576660156
8,90001,-100.5116958618164
9,100001,-102.08200073242188
10,110001,-82.25037384033203
11,120001,-45.77907943725586
12,130001,1.7829594612121582
13,140001,45.35652542114258
14,150001,106.67194366455078
15,160001,144.57174682617188
16,170001,170.24110412597656
17,180001,178.3439483642578
18,190001,167.0901641845703
19,200001,155.55459594726562
20,210001,146.15121459960938
21,220001,137.8505401611328
22,230001,141.31398010253906
23,240001,156.95863342285156
24,250001,170.8138885498047
25,260001,181.3498077392578
26,270001,187.4574737548828
27,280001,206.3107452392578
28,290001,190.6712646484375
29,300001,186.9819793701172
