Iteration,Train_EnvstepsSoFar,Train_AverageReturn
0,10001,-150.91940307617188
1,20001,-101.96549987792969
2,30001,-100.45267486572266
3,40001,-95.15673828125
4,50001,-87.43569946289062
5,60001,-86.96137237548828
6,70001,-79.71125793457031
7,80001,-69.80015563964844
8,90001,-65.64096069335938
9,100001,-52.02814483642578
10,110001,-33.777618408203125
11,120001,-19.128976821899414
12,130001,27.657100677490234
13,140001,50.134498596191406
14,150001,64.86107635498047
15,160001,79.75824737548828
16,170001,80.1315689086914
17,180001,81.68474578857422
18,190001,86.54650115966797
19,200001,101.55110931396484
20,210001,122.25187683105469
21,220001,164.32427978515625
22,230001,192.8245849609375
23,240001,223.87318420410156
24,250001,233.06822204589844
25,260001,236.5311737060547
26,270001,241.63356018066406
27,280001,254.3920135498047
28,290001,254.19776916503906
29,300001,252.70484924316406
