Iteration,Train_EnvstepsSoFar,Train_AverageReturn
0,10001,-148.56784057617188
1,20001,-107.51612854003906
2,30001,-101.63603973388672
3,40001,-98.19367218017578
4,50001,-90.08287048339844
5,60001,-85.37471008300781
6,70001,-83.37763214111328
7,80001,-76.35808563232422
8,90001,-69.04325103759766
9,100001,-56.73070526123047
10,110001,-54.5035285949707
11,120001,-43.45885467529297
12,130001,-25.09730339050293
13,140001,-16.67322540283203
14,150001,11.409991264343262
15,160001,24.6363582611084
16,170001,47.705726623535156
17,180001,72.4250259399414
18,190001,108.9909896850586
19,200001,148.23602294921875
20,210001,147.96669006347656
21,220001,151.5439910888672
22,230001,145.85484313964844
23,240001,142.12518310546875
24,250001,131.36338806152344
25,260001,131.97865295410156
26,270001,144.1876678466797
27,280001,175.1932373046875
28,290001,190.1218719482422
29,300001,216.89158630371094
