Wall time,Step,Value
1772995845.829395,0,15.384614944458008
1772995850.1380568,1,23.941177368164062
1772995854.1746542,2,35.91666793823242
1772995858.521097,3,51.0
1772995863.3602564,4,41.5
1772995867.4235024,5,46.44444274902344
1772995871.445194,6,57.42856979370117
1772995876.4865189,7,58.57143020629883
1772995880.3992302,8,66.66666412353516
1772995884.3975632,9,97.5999984741211
1772995889.0289228,10,70.5
1772995893.2952495,11,86.19999694824219
1772995897.214341,12,116.0
1772995901.5090325,13,103.5
1772995906.3837416,14,138.0
1772995910.317339,15,89.80000305175781
1772995914.323031,16,166.0
1772995919.2873278,17,149.0
1772995923.3054206,18,174.3333282470703
1772995927.3180273,19,242.5
1772995932.38917,20,228.5
1772995936.5505502,21,513.0
1772995940.5830092,22,218.0
1772995945.2219634,23,202.0
1772995950.1340132,24,475.0
1772995954.544669,25,819.0
1772995959.1866913,26,707.0
1772995964.222419,27,1000.0
1772995968.9059405,28,1000.0
1772995973.8046305,29,1000.0
1772995978.396327,30,620.0
1772995982.8120344,31,1000.0
1772995987.6025047,32,1000.0
1772995992.5349057,33,1000.0
1772995996.832912,34,1000.0
1772996001.4906347,35,1000.0
1772996006.5252466,36,1000.0
1772996010.9066432,37,1000.0
1772996015.4300115,38,1000.0
1772996020.992563,39,670.0
1772996025.5220993,40,1000.0
1772996030.1037455,41,1000.0
1772996035.091109,42,1000.0
1772996039.380601,43,1000.0
1772996043.9541962,44,1000.0
1772996049.3286865,45,571.5
1772996053.5122826,46,1000.0
1772996058.1004777,47,603.0
1772996063.3775198,48,1000.0
1772996068.1744235,49,1000.0
1772996072.7412791,50,76.16666412353516
1772996078.0397036,51,370.0
1772996082.237956,52,1000.0
1772996086.781809,53,1000.0
1772996091.752158,54,524.0
1772996096.009574,55,1000.0
1772996100.347029,56,1000.0
1772996105.5550313,57,1000.0
1772996109.8732886,58,1000.0
1772996114.2245963,59,1000.0
1772996119.407234,60,1000.0
1772996123.672009,61,1000.0
1772996127.921196,62,1000.0
1772996133.1460679,63,1000.0
1772996137.388819,64,1000.0
1772996141.6556396,65,1000.0
1772996146.9317238,66,1000.0
1772996151.155433,67,1000.0
1772996155.3824549,68,1000.0
1772996160.5632904,69,1000.0
1772996164.867487,70,1000.0
1772996169.146022,71,1000.0
1772996174.2475555,72,1000.0
1772996178.4764955,73,196.6666717529297
1772996182.785256,74,1000.0
1772996187.6394897,75,1000.0
1772996192.2967415,76,1000.0
1772996196.485797,77,1000.0
1772996201.208516,78,1000.0
1772996206.1122053,79,1000.0
1772996210.3358812,80,1000.0
1772996214.823291,81,1000.0
1772996219.7545266,82,1000.0
1772996223.9673116,83,1000.0
1772996228.3237052,84,1000.0
1772996233.4537134,85,1000.0
1772996237.697288,86,1000.0
1772996241.9964445,87,1000.0
1772996247.225247,88,1000.0
1772996251.4053113,89,1000.0
1772996255.6192403,90,1000.0
1772996260.8239124,91,1000.0
1772996265.0539043,92,859.0
1772996269.3505535,93,443.0
1772996274.7027903,94,1000.0
1772996279.3221793,95,1000.0
1772996283.5669985,96,1000.0
1772996288.8107939,97,1000.0
1772996293.0139823,98,1000.0
1772996297.2210793,99,1000.0
1772996302.400973,100,1000.0
